priority,score,path,title,verticals,workflow_roles,has_howto,has_actions,has_report_capability,howto_matches,action_matches,report_matches,pain_matches,button_count,link_count,input_count
CRITICAL,100,html/az-ins/index.html,AZ Insurance Command · NPN 18818059,"healthcare, bpo, mortgage, insurance, legal, tax, noc, vendor","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how to, getting started, workflow, guide, steps","upload, import, analyze, analysis, run, review, approve, assign, escalate, resolve, generate, export, download, report, presentation, send, save, create, open, launch, start","report, export, download, pdf, presentation, summary, executive, brief, letter, package","risk, loss, exposure, exception, denial, compliance, backlog, delay, cost, revenue, sla, audit, missing, unresolved, recovery",31,2,18
CRITICAL,100,html/az-life/index.html,AZ Insurance Command · NPN 18818059,"healthcare, construction, mortgage, insurance, legal, tax, itops, vendor","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how to, guide, what to do, next step, steps","upload, import, analyze, analysis, run, review, resolve, generate, export, download, report, send, save, create, open, start","report, export, download, pdf, csv, xlsx, excel, summary, executive, letter","risk, loss, exposure, exception, denial, compliance, delay, cost, revenue, error, sla, audit, missing, recovery",39,0,24
CRITICAL,100,html/bpo-files/bpo-internal1.html,TSM BPO — Sector Workflow Hub,"healthcare, construction, bpo, mortgage, real estate, insurance, legal, schools","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"workflow, guide, instructions, next step, steps","upload, import, analyze, analysis, run, execute, submit, review, approve, assign, escalate, resolve, generate, export, download, report, presentation, send, save, create, open, continue, start","report, export, download, excel, presentation, summary, executive, brief, letter, package","risk, leak, loss, exposure, exception, denial, compliance, backlog, delay, cost, revenue, failure, sla, audit",0,5,0
CRITICAL,100,html/bpo-files/bpo-scenarios-demo.html,TSM BPO Scenarios Demo — Competency Proof,"healthcare, construction, bpo, real estate, insurance, legal, finops, tax","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, INTAKE / DATA ENTRY",True,True,True,"workflow, guide, instructions","upload, import, analyze, analysis, run, submit, review, approve, resolve, generate, report, presentation, send, create, open, start","report, excel, presentation, summary, executive, brief, proposal, letter, package","risk, leak, loss, exposure, exception, denial, compliance, delay, cost, revenue, error, sla, audit, missing, unresolved, recovery, opportunity",7,1,0
CRITICAL,100,html/compliance.html,TSM Compliance Command | AI-Powered Regulatory Intelligence,"construction, insurance, legal, finance, finops, tax, itops, vendor","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how to, workflow, guide, quick start, steps","upload, import, analyze, analysis, run, review, assign, resolve, generate, export, report, send, save, create, open, launch, start","report, export, pdf, csv, xlsx, summary, executive, letter","risk, exposure, exception, compliance, overdue, delay, error, anomaly, failure, sla, audit, missing, unresolved, recovery",49,3,16
CRITICAL,100,html/construction-center.html,TSM | Construction Command,"construction, insurance, legal, finance, tax, itops, property, vendor","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how to, workflow, user guide, guide, quick start, steps","upload, import, analyze, analysis, run, review, generate, report, send, create, open, launch, start","report, pdf, csv, deck, summary, executive, brief, letter, package","risk, exposure, compliance, overdue, delay, cost, error, sla, audit, missing, recovery, opportunity",11,5,9
CRITICAL,100,html/construction-suite/construction-command-pro.html,TSM | CONSTRUCTION COMMAND,"construction, insurance, legal, finance, tax, itops, property, vendor","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how to, start here, workflow, user guide, guide, quick start, next step, steps","upload, import, analyze, analysis, run, review, assign, generate, report, send, create, open, launch, start","report, pdf, csv, deck, summary, executive, brief, letter, package","risk, exposure, compliance, overdue, delay, cost, error, sla, audit, missing, recovery, opportunity",16,9,8
CRITICAL,100,html/construction-suite/construction-command.html,TSM | CONSTRUCTION COMMAND,"construction, insurance, legal, finance, tax, itops, property, vendor","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how to, start here, workflow, user guide, guide, quick start, next step, steps","upload, import, analyze, analysis, run, review, assign, generate, report, send, create, open, launch, start","report, pdf, csv, deck, summary, executive, brief, letter, package","risk, exposure, compliance, overdue, delay, cost, error, sla, audit, missing, recovery, opportunity",16,9,8
CRITICAL,100,html/construction-suite/construction-pro.html,AuditOps // Sovereign Core · TSM,"construction, legal, logistics, finance, itops, vendor","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, INTAKE / DATA ENTRY",True,True,True,"how to, how-to, guide, next step, steps","upload, analyze, analysis, run, review, export, download, report, send, save, create, open, continue, start","report, export, download, summary, executive, letter","risk, exposure, compliance, overdue, delay, cost, waste, error, sla, audit, recovery",27,3,3
CRITICAL,100,html/construction-suite/construction-suite-expansion.html,TSM Construction Suite — Field & Document Ops,"construction, finops, noc, supplier, vendor, approval","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how to, how-to, workflow, guide, quick start, steps","upload, import, analyze, analysis, run, execute, submit, review, approve, reject, assign, resolve, generate, export, report, send, save, create, open, continue, start","report, export, pdf, csv, deck, summary, executive, snapshot, letter","risk, exposure, compliance, overdue, delay, cost, error, anomaly, sla, audit, recovery",64,1,9
