priority,score,vertical,path,title,actions,report_actions,pain_points,recommended_reports
P0,100,healthcare,html/healthcare/hc-denial-war-room.html,TSM · Denial Recovery War Room,9,0,denial leakage; revenue-cycle backlog; appeal prioritization; documentation gaps; operational exceptions,Denial Recovery Report; Revenue Leakage Report; Appeal Priority Queue; Executive Revenue-Cycle Brief
P0,100,healthcare,html/l1-copilot/l1-ticket-copilot.html,TSM L1 Ticket Copilot,9,0,denial leakage; revenue-cycle backlog; appeal prioritization; documentation gaps; operational exceptions,Denial Recovery Report; Revenue Leakage Report; Appeal Priority Queue; Executive Revenue-Cycle Brief
P0,100,mortgage,html/reo-command.html,Real Estate Command,9,0,pipeline bottlenecks; documentation exceptions; underwriting risk; closing delays; loan fallout,Loan Pipeline Risk Report; Underwriting Exception Report; Closing Readiness Report; Executive Mortgage Brief
P0,100,mortgage,html/reo-pro/re-doc-search.html,TSM · RE DOCUMENT COMMAND,9,0,pipeline bottlenecks; documentation exceptions; underwriting risk; closing delays; loan fallout,Loan Pipeline Risk Report; Underwriting Exception Report; Closing Readiness Report; Executive Mortgage Brief
P0,100,healthcare,html/suite-builder.html,TSM · Presentation Suite Builder,9,0,denial leakage; revenue-cycle backlog; appeal prioritization; documentation gaps; operational exceptions,Denial Recovery Report; Revenue Leakage Report; Appeal Priority Queue; Executive Revenue-Cycle Brief
P0,100,healthcare,html/tsm-insurance/insurance-claims-pro.html,TSM Insurance Operations Academy · Claims Lab,9,0,denial leakage; revenue-cycle backlog; appeal prioritization; documentation gaps; operational exceptions,Denial Recovery Report; Revenue Leakage Report; Appeal Priority Queue; Executive Revenue-Cycle Brief
P0,100,healthcare,html/tsm-insurance/pc-command.html,TSM | P&C Enterprise Command,9,0,denial leakage; revenue-cycle backlog; appeal prioritization; documentation gaps; operational exceptions,Denial Recovery Report; Revenue Leakage Report; Appeal Priority Queue; Executive Revenue-Cycle Brief
P0,100,construction,html/war-rooms/construct-war/construction-war-room.html,TSM Construction War Room,9,0,project cost leakage; permit delays; change-order exposure; billing/WIP backlog; field-office disconnect,Project Risk Report; WIP & Billing Report; Permit/Proposal Exception Report; Executive Project Brief
P0,100,insurance,html/war-rooms/insure-war/insurance-war-room.html,Insurance War Room · TSM,9,0,claims leakage; compliance exposure; agent productivity; underwriting risk; appeal/claim backlog,Claims Risk Report; Compliance Exception Report; Underwriting Risk Report; Executive Insurance Brief
P0,100,legal,html/war-rooms/legal-war/legal-war-room.html,Legal War Room · TSM Legal-Pro,9,0,matter backlog; deadline risk; document review burden; compliance exposure; case prioritization,Matter Risk Report; Deadline/Exception Report; Document Intelligence Brief; Executive Legal Brief
P0,100,mortgage,html/war-rooms/re-war/re-war-room.html,TSM // RE WAR ROOM,9,0,pipeline bottlenecks; documentation exceptions; underwriting risk; closing delays; loan fallout,Loan Pipeline Risk Report; Underwriting Exception Report; Closing Readiness Report; Executive Mortgage Brief
P0,100,insurance,html/agents-ins.html,TSM Insurance Intelligence — AI for Insurance Professionals,8,0,claims leakage; compliance exposure; agent productivity; underwriting risk; appeal/claim backlog,Claims Risk Report; Compliance Exception Report; Underwriting Risk Report; Executive Insurance Brief
P0,100,insurance,html/az-ins.tsmatter.html,AZ Insurance Command,8,0,claims leakage; compliance exposure; agent productivity; underwriting risk; appeal/claim backlog,Claims Risk Report; Compliance Exception Report; Underwriting Risk Report; Executive Insurance Brief
